The Naked Gun From the Files of Police Squad,87,76,A-
Inception,86,74,B+
X Men First Class,86,65,B+
Thor,77,57,B+
Captain America The First Avenger,80,66,A-
Marvels The Avengers,92,69,A+
Wreck it Ralph,87,72,A
The LEGO Movie,96,83,A
Star Wars Episode III Revenge of the Sith,79,68,A-
X Men Days of Future Past,91,74,A
Star Wars Episode VII The Force Awakens,93,81,A
Thor The Dark World,66,54,A-
Zootopia,98,78,A
The Hobbit The Desolation of Smaug,75,66,A-
Captain America Civil War,91,75,A
Big Hero 6,89,74,A
Die Hard,92,70,A+
Deadpool,84,65,A
Casino Royale,94,80,A-
Iron Man,94,79,A
Finding Nemo,99,90,A+
Batman Begins,84,70,A
X Men Apocalypse,48,52,A-
Fantastic Beasts and Where to Find Them,74,66,A-
Superman Man of Steel,55,55,A-
Avatar,84,83,A
X2 XMen United,86,68,A
Transformers the Movie,57,61,A
XMen,81,64,A-
Monsters Inc,96,78,A+
Fish Called Wanda,93,80,A
Dumb and Dumber,67,41,B
Wall E,96,95,A
Transformers Revenge of the Fallen,19,35,B+
The Incredible Hulk,67,61,A-
Up,98,88,A+
Tangled,89,71,A+
1214097 despicable me?,81,72,A
Transformers Dark of the Moon,35,42,A
Iron Man 3,79,62,A
Iron Man 2,73,57,A
The Dark Knight,94,82,A
The Hobbit An Unexpected Journey,64,58,A
Transformers Age of Extinction,18,32,A-
Brave 2012,78,69,A
Captain America The Winter Soldier,89,70,A
Guardians of the Galaxy,91,76,A
How to Train Your Dragon,98,74,A
The Amazing Spider Man,73,66,A-
Skyfall,93,81,A
The Dark Knight Rises,87,78,A
Pacific Rim 2013,71,64,A-
Kubo and the Two Strings,97,84,A
Batman v Superman Dawn of Justice,27,44,B
Doctor Strange 2016,89,72,A
Jurassic World,71,59,A
Star Trek,94,82,A
Kung Fu Panda,87,73,A-
Shrek,88,84,A
Over the Hedge,75,67,A
Madagascar,55,57,A-
Rise of the Planet of the Apes,81,68,A-
Bugs Life,92,77,A
SpiderMan 2,94,83,A-
Dawn of the Planet of the Apes,90,79,A-
Guardians of the Galaxy Vol 2,82,67,A
Shrek 2,88,75,A
Wonder Woman 2017,92,76,A
Apollo 13,95,77,A
The Royal Tenenbaums,80,76,C-
Super 8,82,72,B+
American Hustle,93,90,B+
The Hobbit The Battle of the Five Armies,60,59,A-
The Martian,92,80,A
Django Unchained,87,81,A-
Spider Man Homecoming,92,73,A
The Lord of the Rings The Fellowship of the Ring,91,92,A-
The Lord of the Rings The Two Towers,96,88,A
Oceans Twelve,55,58,B-
Bourne Identity,83,68,A-
Oceans Eleven,82,74,B+
Men in Black III,68,58,B+
The Lord of the Rings The Return of the King,94,94,A+
Mission Impossible 3,70,66,A-
