"","Name"
"1","Bowling for Columbine"
"2","Batman (1966)"
"3","The Naked Gun: From the Files of Police Squad!"
"4","Inception"
"5","X-Men: First Class"
"6","Thor"
"7","Rush: Time Machine - Live in Cleveland (2011)"
"8","Captain America: The First Avenger"
"9","The Island President"
"10","The Avengers"
"11","Wreck-It Ralph"
"12","The LEGO Movie"
"13","Star Wars: Revenge of the Sith"
"14","Star Wars: A New Hope"
"15","X-Men: Days of Future Past"
"16","Ant-Man"
"17","Star Wars: The Force Awakens"
"18","Thor: The Dark World"
"19","Avengers: Age of Ultron"
"20","Zootopia"
"21","The Hobbit: The Desolation of Smaug (Extended Edition)"
"22","Captain America: Civil War"
"23","Big Hero 6"
"24","Die Hard"
"25","Deadpool"
"26","Casino Royale"
"27","Iron Man"
"28","The King's Speech"
"29","Finding Nemo"
"30","Batman Begins"
"31","Star Trek Beyond"
"32","X-Men: Apocalypse"
"33","Rogue One: A Star Wars Story"
"34","Fantastic Beasts and Where to Find Them"
"35","The Incredibles"
"36","The Grand Budapest Hotel"
"37","Man of Steel (2013)"
"38","Avatar (Extended Collector's Edition)"
"39","X2: X-Men United"
"40","Transformers"
"41","All the President's Men"
"42","X-Men"
"43","Monsters, Inc."
"44","A Fish Called Wanda"
"45","Dumb and Dumber"
"46","WALL•E"
"47","Transformers: Revenge of the Fallen"
"48","The Incredible Hulk"
"49","Up"
"50","Anchorman: The Legend of Ron Burgundy"
"51","Aladdin"
"52","Tangled"
"53","Despicable Me"
"54","Transformers: Dark of the Moon"
"55","Iron Man 3"
"56","Iron Man 2"
"57","The Dark Knight"
"58","The Hobbit: An Unexpected Journey (Extended Edition)"
"59","Transformers: Age of Extinction"
"60","Les Miserables"
"61","Brave"
"62","Captain America: The Winter Soldier"
"63","Guardians of the Galaxy"
"64","How to Train Your Dragon"
"65","The Amazing Spider-Man"
"66","Skyfall"
"67","The Dark Knight Rises"
"68","Pacific Rim"
"69","Kubo and the Two Strings"
"70","Batman v Superman: Dawn of Justice"
"71","Star Wars: The Empire Strikes Back"
"72","Doctor Strange (2016)"
"73","Star Wars: Return of the Jedi"
"74","Jurassic World"
"75","Star Trek"
"76","Spider-Man"
"77","Kung Fu Panda"
"78","Shrek"
"79","Over the Hedge"
"80","Madagascar"
"81","Rise of the Planet of the Apes"
"82","A Bug's Life"
"83","Spider-Man 2"
"84","Dawn of the Planet of the Apes"
"85","Guardians of the Galaxy Vol. 2"
"86","Shrek 2"
"87","Wonder Woman (2017)"
"88","Apollo 13"
"89","The Royal Tenenbaums"
"90","Super 8"
"91","American Hustle"
"92","Star Trek Into Darkness"
"93","The Hobbit: The Battle of the Five Armies (Extended Edition)"
"94","Sicario"
"95","The Martian"
"96","Arrival"
"97","Django Unchained"
"98","Spider-Man: Homecoming"
"99","Blade Runner (The Final Cut)"
"100","The Lord of the Rings: The Fellowship of the Ring (Special Extended Edition)"
"101","The Lord of the Rings: The Two Towers (Extended Edition)"
"102","Mission: Impossible"
"103","Mission: Impossible II"
"104","Ocean's Twelve"
"105","The Bourne Identity"
"106","Ocean's Eleven (2001)"
"107","Men In Black 3"
"108","The Lord of the Rings: The Return of the King (Special Extended Edition)"
"109","Mission: Impossible III"
