Bowling for Columbine,96,72
The Naked Gun From the Files of Police Squad,87,76
Inception,86,74
X Men First Class,86,65
Thor,77,57
Captain America The First Avenger,80,66
The Island President,98,72
Marvels The Avengers,92,69
Wreck it Ralph,87,72
The LEGO Movie,96,83
Star Wars Episode III Revenge of the Sith,79,68
Star Wars,93,92
X Men Days of Future Past,91,74
Star Wars Episode VII The Force Awakens,93,81
Thor The Dark World,66,54
Zootopia,98,78
The Hobbit The Desolation of Smaug,75,66
Captain America Civil War,91,75
Big Hero 6,89,74
Die Hard,92,70
Deadpool,84,65
Casino Royale,94,80
Iron Man,94,79
The Kings Speech,95,88
Finding Nemo,99,90
Batman Begins,84,70
X Men Apocalypse,48,52
Fantastic Beasts and Where to Find Them,74,66
The Grand Budapest Hotel,92,88
Superman Man of Steel,55,55
Avatar,84,83
X2 XMen United,86,68
Transformers the Movie,57,61
XMen,81,64
Monsters Inc,96,78
Fish Called Wanda,93,80
Dumb and Dumber,67,41
Wall E,96,95
Transformers Revenge of the Fallen,19,35
The Incredible Hulk,67,61
Up,98,88
Tangled,89,71
1214097 despicable me?,81,72
Transformers Dark of the Moon,35,42
Iron Man 3,79,62
Iron Man 2,73,57
The Dark Knight,94,82
The Hobbit An Unexpected Journey,64,58
Transformers Age of Extinction,18,32
Brave 2012,78,69
Captain America The Winter Soldier,89,70
Guardians of the Galaxy,91,76
How to Train Your Dragon,98,74
The Amazing Spider Man,73,66
Skyfall,93,81
The Dark Knight Rises,87,78
Pacific Rim 2013,71,64
Kubo and the Two Strings,97,84
Batman v Superman Dawn of Justice,27,44
Empire Strikes Back,94,81
Doctor Strange 2016,89,72
Star Wars Episode VI Return of the Jedi,80,53
Jurassic World,71,59
Star Trek,94,82
Kung Fu Panda,87,73
Shrek,88,84
Over the Hedge,75,67
Madagascar,55,57
Rise of the Planet of the Apes,81,68
Bugs Life,92,77
SpiderMan 2,94,83
Dawn of the Planet of the Apes,90,79
Guardians of the Galaxy Vol 2,82,67
Shrek 2,88,75
Wonder Woman 2017,92,76
Apollo 13,95,77
The Royal Tenenbaums,80,76
Super 8,82,72
American Hustle,93,90
The Hobbit The Battle of the Five Armies,60,59
The Martian,92,80
Django Unchained,87,81
Spider Man Homecoming,92,73
Blade Runner,90,89
The Lord of the Rings The Fellowship of the Ring,91,92
The Lord of the Rings The Two Towers,96,88
Oceans Twelve,55,58
Bourne Identity,83,68
Oceans Eleven,82,74
Men in Black III,68,58
The Lord of the Rings The Return of the King,94,94
Mission Impossible 3,70,66
